seed,cohort,evaluator,method,client,score
4101,A,sample_frequency,shapley,3,0.010096659799727625
4101,A,sample_frequency,shapley,5,0.0013766950175546637
4101,A,sample_frequency,shapley,6,0.00574799390477021
4101,A,sample_frequency,shapley,8,0.01191106466881109
4101,A,sample_frequency,leave_one_out,3,0.0008929522808071022
4101,A,sample_frequency,leave_one_out,5,-0.00234953371323543
4101,A,sample_frequency,leave_one_out,6,-0.0012085989865756597
4101,A,sample_frequency,leave_one_out,8,0.004693596136187139
4101,A,sample_frequency,data_size,3,0.27301841473178545
4101,A,sample_frequency,data_size,5,0.24179343474779824
4101,A,sample_frequency,data_size,6,0.2602081665332266
4101,A,sample_frequency,data_size,8,0.22497998398718974
4101,A,equal_class,shapley,3,0.00970544980426701
4101,A,equal_class,shapley,5,0.004519902368352933
4101,A,equal_class,shapley,6,0.007026425745322501
4101,A,equal_class,shapley,8,0.01024750335595312
4101,A,equal_class,leave_one_out,3,0.00024654420143721545
4101,A,equal_class,leave_one_out,5,-0.0009461484975074042
4101,A,equal_class,leave_one_out,6,-0.0008754063382361288
4101,A,equal_class,leave_one_out,8,0.0037976670784657385
4101,A,equal_class,data_size,3,0.27301841473178545
4101,A,equal_class,data_size,5,0.24179343474779824
4101,A,equal_class,data_size,6,0.2602081665332266
4101,A,equal_class,data_size,8,0.22497998398718974
4101,A,equal_subject,shapley,3,0.010193111146440956
4101,A,equal_subject,shapley,5,0.0015574748523378983
4101,A,equal_subject,shapley,6,0.005785163227232631
4101,A,equal_subject,shapley,8,0.011575870703847514
4101,A,equal_subject,leave_one_out,3,0.0009458161743821636
4101,A,equal_subject,leave_one_out,5,-0.00224718302201099
4101,A,equal_subject,leave_one_out,6,-0.0011882441231271246
4101,A,equal_subject,leave_one_out,8,0.004541132178786267
4101,A,equal_subject,data_size,3,0.27301841473178545
4101,A,equal_subject,data_size,5,0.24179343474779824
4101,A,equal_subject,data_size,6,0.2602081665332266
4101,A,equal_subject,data_size,8,0.22497998398718974
4101,B,sample_frequency,shapley,11,0.00923358092992707
4101,B,sample_frequency,shapley,14,-0.0033050496035264645
4101,B,sample_frequency,shapley,16,0.00797641196167693
4101,B,sample_frequency,shapley,17,0.013138034352069313
4101,B,sample_frequency,leave_one_out,11,0.002291808137982909
4101,B,sample_frequency,leave_one_out,14,-0.0012278560599501276
4101,B,sample_frequency,leave_one_out,16,-3.5131450527581265e-05
4101,B,sample_frequency,leave_one_out,17,0.003556518329762892
4101,B,sample_frequency,data_size,11,0.23015294974508377
4101,B,sample_frequency,data_size,14,0.23525127458120904
4101,B,sample_frequency,data_size,16,0.26656955571740715
4101,B,sample_frequency,data_size,17,0.26802621995630005
4101,B,equal_class,shapley,11,0.013685461290822097
4101,B,equal_class,shapley,14,-0.003894102202260237
4101,B,equal_class,shapley,16,0.0083547768797159
4101,B,equal_class,shapley,17,0.00813466106365977
4101,B,equal_class,leave_one_out,11,0.0046999884523968305
4101,B,equal_class,leave_one_out,14,-0.0008518564690523922
4101,B,equal_class,leave_one_out,16,0.0002771902760215772
4101,B,equal_class,leave_one_out,17,0.0008205223382461435
4101,B,equal_class,data_size,11,0.23015294974508377
4101,B,equal_class,data_size,14,0.23525127458120904
4101,B,equal_class,data_size,16,0.26656955571740715
4101,B,equal_class,data_size,17,0.26802621995630005
4101,B,equal_subject,shapley,11,0.009544461498940735
4101,B,equal_subject,shapley,14,-0.004258893011712478
4101,B,equal_subject,shapley,16,0.008395245141232901
4101,B,equal_subject,shapley,17,0.013224386940690641
4101,B,equal_subject,leave_one_out,11,0.002468654831545347
4101,B,equal_subject,leave_one_out,14,-0.0016703939645202892
4101,B,equal_subject,leave_one_out,16,0.00020926995521031166
4101,B,equal_subject,leave_one_out,17,0.0036420591228154553
4101,B,equal_subject,data_size,11,0.23015294974508377
4101,B,equal_subject,data_size,14,0.23525127458120904
4101,B,equal_subject,data_size,16,0.26656955571740715
4101,B,equal_subject,data_size,17,0.26802621995630005
4101,C,sample_frequency,shapley,19,0.005661534613390594
4101,C,sample_frequency,shapley,22,0.008830853317097384
4101,C,sample_frequency,shapley,23,0.010348301767918521
4101,C,sample_frequency,shapley,25,0.006048642129131338
4101,C,sample_frequency,leave_one_out,19,0.00049220432366337
4101,C,sample_frequency,leave_one_out,22,0.0006036799771532708
4101,C,sample_frequency,leave_one_out,23,0.0024718470342073307
4101,C,sample_frequency,leave_one_out,25,-0.0010433294926699421
4101,C,sample_frequency,data_size,19,0.24623803009575923
4101,C,sample_frequency,data_size,22,0.21956224350205197
4101,C,sample_frequency,data_size,23,0.25444596443228457
4101,C,sample_frequency,data_size,25,0.27975376196990426
4101,C,equal_class,shapley,19,0.0037363515685005797
4101,C,equal_class,shapley,22,0.007887079893765978
4101,C,equal_class,shapley,23,0.012116334232887079
4101,C,equal_class,shapley,25,0.006560331199042582
4101,C,equal_class,leave_one_out,19,-0.0006421204917678169
4101,C,equal_class,leave_one_out,22,0.00027824979674684336
4101,C,equal_class,leave_one_out,23,0.003666723593447996
4101,C,equal_class,leave_one_out,25,-0.0006221429949886392
4101,C,equal_class,data_size,19,0.24623803009575923
