seed,cohort,method,reference,evaluator,tv,reversals,tie_transitions,tau_b,tau_status,top_jaccard
4101,A,shapley,sample_frequency,equal_class,0.12199620029817838,0,0,1.0,defined,1.0
4101,A,shapley,sample_frequency,equal_subject,0.01122206051000603,0,0,1.0,defined,1.0
4101,A,leave_one_out,sample_frequency,equal_class,0.09887746471314449,0,0,1.0,defined,1.0
4101,A,leave_one_out,sample_frequency,equal_subject,0.012535918784020952,0,0,1.0,defined,1.0
4101,A,data_size,sample_frequency,equal_class,0.0,0,0,1.0,defined,1.0
4101,A,data_size,sample_frequency,equal_subject,0.0,0,0,1.0,defined,1.0
4101,B,shapley,sample_frequency,equal_class,0.163328599871684,2,0,0.3333333333333333,defined,0.0
4101,B,shapley,sample_frequency,equal_subject,0.008565388489713027,0,0,1.0,defined,1.0
4101,B,leave_one_out,sample_frequency,equal_class,0.4666003553576785,1,0,0.6666666666666666,defined,0.0
4101,B,leave_one_out,sample_frequency,equal_subject,0.033112418987869416,0,0,1.0,defined,1.0
4101,B,data_size,sample_frequency,equal_class,0.0,0,0,1.0,defined,1.0
4101,B,data_size,sample_frequency,equal_subject,0.0,0,0,1.0,defined,1.0
4101,C,shapley,sample_frequency,equal_class,0.08556092603729851,0,0,1.0,defined,1.0
4101,C,shapley,sample_frequency,equal_subject,0.012201741610073716,0,0,1.0,defined,1.0
4101,C,leave_one_out,sample_frequency,equal_class,0.23663284646597416,1,0,0.6666666666666666,defined,1.0
4101,C,leave_one_out,sample_frequency,equal_subject,0.05323063861091042,0,0,1.0,defined,1.0
4101,C,data_size,sample_frequency,equal_class,0.0,0,0,1.0,defined,1.0
4101,C,data_size,sample_frequency,equal_subject,0.0,0,0,1.0,defined,1.0
4101,D,shapley,sample_frequency,equal_class,0.07986169403553298,1,0,0.6666666666666666,defined,1.0
4101,D,shapley,sample_frequency,equal_subject,0.010759699226342012,0,0,1.0,defined,1.0
4101,D,leave_one_out,sample_frequency,equal_class,0.40255688645701504,1,0,0.6666666666666666,defined,1.0
4101,D,leave_one_out,sample_frequency,equal_subject,0.02522823364909657,0,0,1.0,defined,1.0
4101,D,data_size,sample_frequency,equal_class,0.0,0,0,1.0,defined,1.0
4101,D,data_size,sample_frequency,equal_subject,0.0,0,0,1.0,defined,1.0
4102,A,shapley,sample_frequency,equal_class,0.17626709345926553,1,0,0.6666666666666666,defined,1.0
4102,A,shapley,sample_frequency,equal_subject,0.014724199900695761,0,0,1.0,defined,1.0
4102,A,leave_one_out,sample_frequency,equal_class,0.41090831394107796,2,0,0.3333333333333333,defined,0.0
4102,A,leave_one_out,sample_frequency,equal_subject,0.039767251697337996,0,0,1.0,defined,1.0
4102,A,data_size,sample_frequency,equal_class,0.0,0,0,1.0,defined,1.0
4102,A,data_size,sample_frequency,equal_subject,0.0,0,0,1.0,defined,1.0
4102,B,shapley,sample_frequency,equal_class,0.12137092721166953,2,0,0.3333333333333333,defined,0.0
4102,B,shapley,sample_frequency,equal_subject,0.01154021747326412,0,0,1.0,defined,1.0
4102,B,leave_one_out,sample_frequency,equal_class,0.4738931134626166,1,0,0.6666666666666666,defined,0.0
4102,B,leave_one_out,sample_frequency,equal_subject,0.015853624868278734,0,0,1.0,defined,1.0
4102,B,data_size,sample_frequency,equal_class,0.0,0,0,1.0,defined,1.0
4102,B,data_size,sample_frequency,equal_subject,0.0,0,0,1.0,defined,1.0
4102,C,shapley,sample_frequency,equal_class,0.011661523658880707,1,0,0.6666666666666666,defined,0.0
4102,C,shapley,sample_frequency,equal_subject,0.00791015339528603,1,0,0.6666666666666666,defined,0.0
4102,C,leave_one_out,sample_frequency,equal_class,0.022595807280899285,0,0,1.0,defined,1.0
4102,C,leave_one_out,sample_frequency,equal_subject,0.03180216149093001,0,0,1.0,defined,1.0
