seed,cohort,evaluator,method,client,share,uniform_fallback
4101,A,sample_frequency,shapley,3,0.3465782139043141,False
4101,A,sample_frequency,shapley,5,0.047256469935526124,False
4101,A,sample_frequency,shapley,6,0.19730579226823952,False
4101,A,sample_frequency,shapley,8,0.4088595238919203,False
4101,A,sample_frequency,leave_one_out,3,0.15983971034614997,False
4101,A,sample_frequency,leave_one_out,5,0.0,False
4101,A,sample_frequency,leave_one_out,6,0.0,False
4101,A,sample_frequency,leave_one_out,8,0.84016028965385,False
4101,A,sample_frequency,data_size,3,0.27301841473178545,False
4101,A,sample_frequency,data_size,5,0.24179343474779824,False
4101,A,sample_frequency,data_size,6,0.2602081665332266,False
4101,A,sample_frequency,data_size,8,0.22497998398718974,False
4101,A,equal_class,shapley,3,0.30811654779914677,False
4101,A,equal_class,shapley,5,0.1434922380942932,False
4101,A,equal_class,shapley,6,0.22306622440765084,False
4101,A,equal_class,shapley,8,0.3253249896989093,False
4101,A,equal_class,leave_one_out,3,0.0609622456330055,False
4101,A,equal_class,leave_one_out,5,0.0,False
4101,A,equal_class,leave_one_out,6,0.0,False
4101,A,equal_class,leave_one_out,8,0.9390377543669945,False
4101,A,equal_class,data_size,3,0.27301841473178545,False
4101,A,equal_class,data_size,5,0.24179343474779824,False
4101,A,equal_class,data_size,6,0.2602081665332266,False
4101,A,equal_class,data_size,8,0.22497998398718974,False
4101,A,equal_subject,shapley,3,0.35013891947614223,False
4101,A,equal_subject,shapley,5,0.05350010944394196,False
4101,A,equal_subject,shapley,6,0.1987235076980016,False
4101,A,equal_subject,shapley,8,0.3976374633819143,False
4101,A,equal_subject,leave_one_out,3,0.17237562913017093,False
4101,A,equal_subject,leave_one_out,5,0.0,False
4101,A,equal_subject,leave_one_out,6,0.0,False
4101,A,equal_subject,leave_one_out,8,0.8276243708698291,False
4101,A,equal_subject,data_size,3,0.27301841473178545,False
4101,A,equal_subject,data_size,5,0.24179343474779824,False
